activity	sp2
Antirabies	Tabebuia rosea
Antiradiation	Panax ginseng
Antiradicular	Achyrocline satureioides/Adiantum capillus-veneris/Aloysia citriodora/Anacardium occidentale/Ananas comosus/Andrographis paniculata/Annona squamosa/Arachis hypogaea/Areca catechu/Auricularia spp./Bixa orellana/Brassica oleracea/Cardiospermum halicacabum/Cassia fistula/Cayaponia tayuya/Cecropia peltata/Chromolaena odorata/Cichorium endivia/Cissampelos pareira/Crocus sativus/Croton lechleri/Dioscore batatas/Dracontium spp./Duranta erecta/Elaeis guineensis/Eucommia ulmodes/Guazuma ulmifolia/Gynostemma pentaphyllum/Haplopappus baylahuen/Hymenaea courbaril/Ilex paraguariensis/Ipomoea batatas/Jatropha macrantha/Juglans regia/Lippia alba/Lycopersicon esculentum/Manilkara zapota/Mansoa alliacea/Morus alba/Myrcia multiflora/Myrciaria dubia/Ocimum campechianum/Paeonia lactiflora/Paullinia cupana/Persea americana/Petiveria alliacea/Peumus boldus/Phaseolus vulgaris/Phlebodium aureum/Physalis peruviana/Picrorhiza kurrooa/Pinus pinaster/Piper peltatum/Pluchea sagittalis/Primula veris/Psidium guajava/Rosa canina/Schisandra chinensis/Scoparia dulcis/Scutellaria baicalensis/Sida cordifolia/Smallanthus sonchifolius/Sonchus oleraceus/Tabebuia spp./Tagetes lucida/Tradescantia spathacea/Tynanthus panurensis/Uncaria tomentosa/Xanthosoma violaceum
Antirejection	Phlebodium aureum
Antiretinitic	Brassica oleracea/Spinacia oleracea
Antiretinohemorrhagic	Vaccinium myrtillus
Antiretroviral	Astragalus membranaceus/Cetraria islandica/Dodonaea viscosa/Hypericum perforatum/Tabebuia spp.
Antirheumatalgic	Pimenta rece
Antithyroid	Allium sativum/Brassica napus/Leucaena leucocephala/Lithospermum erythrorhizon/Lithospermum officinale/Melissa officinalis/Ocimum tenuiflorum/Prunus armeniaca/Thymus serpyllum/Thymus vulgaris
Antitoxic	Allium cepa/Amomum compactum/Bupleurum chinense/Ceratonia siliqua/Rheum palmatum/Silybum marianum
Antitoxoplasmotic	Dipteryx odorata
Antitubercular	Albizia lebbeck/Alpinia galanga/Berberis vulgaris/Bridens pilosa/Caesalpinia pulcherrima/Guariacum officinale/Holarrhena pubescens/Justicia adhatoda/Lonicera japonica/Mammea americana/Morinda citrifolia/Myroxylon balsamum/Piper longum/Punica granatum/Swertia chirayta
Antitumor	Abrus precatorius/Achillea millefolium/Achyrocline satureioides/Acmella oleracea/Aegopodium podagraria/Aesculus hippocastanum/Alchemilla vulgaris/Allium cepa/Allium sativum/Alpinia officinarum/Amorphophallus konjac/Anacardium occidentale/Ananas comosus/Anethum graveolens/Annona glabra/Annona reticulata/Annona squamosa/Apium graveolens/Apocynum cannabinum/Arctium lappa/Armoracia rusticana/Arnica montana/Artemisia annua/Asclepias syriaca/Aspidosperma excelsum/Astragalus membranaceus/Atractylodes japonica/Auricularia spp./Avicennia germinans/Ayapana triplinervis/Bacopa monnieri/Baptisia tinctoria/Beta vulgaris/Biophytum sensitivum/Bixa orellana/Bocconia frutescens/Boerhavia diffusa/Brassica juncea/Brosimum acutifolium/Bryonia alba/Bryonia dioica/Bupleurum chinense/Bursera simaruba/Buxus sempervirens/Calea urficifolia/Calendula officinalis/Calophyllum brasiliense/Calotropis gigantea/Calotropis procera/Caltha palustris/Cannabis sativa/Capraria biflora/Capsella bursa-pastoris/Capsicum spp./Carapa guianensis/Carapichea ipecacuanha/Carica papaya/Carthamus tinctorius/Casearia sylvestris/Cassia fistula/Cassia grandis/Cayaponia tayuya/Centella asiatica/Chelidonium majus/Chiococca alba/Chlorella spp./Chrysobalanus icaco/Cinchona officinalis/Cinchona pubescens/Cinnamomum aromaticum/Cnicus benedictus/Coccoloba uvifera/Cocos nucifera/Colchicum autumnale/Copaifera langsdorffii/Copaifera officinalis/Crocus sativus/Croton lechleri/Cuminum cyminum/Curcuma longa/Curcuma xanthorrhiza/Curcuma zedoaria/Cynara cardunculus/Cynoglossum officinale/Daphne mezereum/Digitalis purpurea/Dioscorea bulbifera/Dorema ammoniacum/Drimys winteri/Dysphania ambrosioides/Echinacea spp./Elaeis guineensis/Eleutherococcus senticosus/Epilobium angustifolium/Equisetum giganteum/Erysimum cheiri/Espeletia schultzii/Eucalyptus globulus/Eucommia ulmodes/Eupatorium perfoliatum/Euphorbia lathyris/Euphorbia pulcherrima/Euphorbia tirucallis/Euterpe oleracea/Ferula assa-foetida/Ficus insipida/Filipendula ulmaria/Fragaria vesca/from Ananas/Galanthus nivalis/Ganoderma lucidum/Gardenia jasminoides/Gaultheria procumbens/Glycyrrhiza glabra/Guazuma ulmifolia/Hagenia abyssinica/Hebanthe eriantha/Himatanthus sucuuba/Hippophae rhamnoides/Humulus lupulus/Hydnocarpus spp./Hymenaea courbaril/Impatiens capensis/Inula helenium/Ipomoea alba/Ipomoea batatas/Jacaranda caucana/Jatropha curcas/Juglans cinerea/Juglans nigra/Juglans regia/Juniperus virginiana/Justicia pectoralis/Larrea tridentata/Leonurus cardiaca/Ligustrum lucidum/Linum usitatissimum/Lithospermum erythrorhizon/Lonicera japonica/Lycopersicon esculentum/Lycopus europaeus/Macfadyena unguis-cati/Mammea americana/Mangifera indica/Manihot esculenta/Marsdenia cundurango/Maytenus boaria/Maytenus ilicifolia/Melilotus offinalis/Mentha longifolia/Minquartia guianensis/Momordica charantia/Morinda citrifolia/Moringa oleifera/Morus alba/Morus rubra/Muntingia calabura/Myristica fragrans/Nasturtium officinale/Neurolaena lobata/Ocimum basilicum/Oenothera biennis/Oryctanthus alveolatus/Paeonia lactiflora/Panax ginseng/Panax pseudoginseng/Papaver rhoeas/Passiflora edulis/Passiflora foetida/Pedilanthus tithymaloides/Persea americana/Petiveria alliacea/Phaseolus vulgaris/Phlebodium aureum/Physalis angulata/Picrama excelsa/Picrasma excelsa/Picrorhiza kurrooa/Piper peltatum/Pistacia lentiscus/Plantago major/Platycodon grandiflorum/Plumeria rubra/Podophyllum peltatum/Polygonum multiflorum/Prunella vulgaris/Prunus armeniaca/Psidium guajava/Psophocarpus tetragonolobus/Ptychopetalum olacoides/Pueraria montana/Quercus spp./Rabdosia spp./Rehmannia glutinosa/Rhamnus cathartica/Rheum palmatum/Ribes rubrum/Ricinus communis/Rollinia mucosa/Rubus spp./Rumex acetosella/Rumex hymenosepalus/Sanguinaria canadensis/Schinus terebinthifolius/Schisandra chinensis/Scoparia dulcis/Senna occidentalis/Silybum marianum/Simarouba glauca/Solidago virgaurea/Sonchus oleraceus/Stachytarpheta jamaicensis/Stephania tetrandra/Strychnos nux-vomica/Swartzia polyphylla/Symphytum spp./Tabebuia barbata/Tabebuia rosea/Tabebuia spp./Tagetes minuta/Tanacetum parthenium/Tanacetum vulgare/Taraxacum officinale/Taxus brevifolia/Taxus sp./Terminalia chebula/Theobroma cacao/Thespesia populnea/Trigonella foenum-graecum/Tylophora indica/Uncaria tomentosa/Urtica dioica/Usnea spp./Valeriana officinalis/Verbena officinalis/Vincetoxicum hirundinaria/Viscum album/Vitis vinifera/Withania somnifera/Xanthium spinosum/Xanthium strumarium/Yucca filamentosa/Yucca spp/Ziziphus jujuba/Ziziphus spina-christi
Antirheumatic	Actaea racemosa/Adiantum pedatum/Allium sativum/Apeiba tribourbou/Apium graveolens/Arbutus unedo/Arctium lappa/Aristolochia triangularis/Arnica montana/Asparagus officinalis/Avicennia germinans/Baccharis articulata/Boswellia serrata/Brosimum acutifolium/Brugmansia versicolor/Brunfelsia grandiflora/Brunfelsia uniflora/Calliandra angustifolia/Caltha palustris/Campsiandra comosa/Casearia sylvestris/Caulophyllum thalictroides/Centella asiatica/Cinnamomum camphora/Colchicum autumnale/Commiphora myrrha/Couroupita guianensis/Croton lechleri/Cycas revoluta/Dioscorea spp./Dioscorea villosa/Epimedium spp./Eriodictyon californicum/Eugenia uniflora/Eupatorium purpureum/Filipendula ulmaria/Fucus vesiculosus/Gaultheria procumbens/Guaiacum officinale/Guariacum officinale/Harpagophytum procumbens/Hymenaea courbaril/Ilex paraguariensis/Jatropha gossypiifolia/Juniperus Communis/Laurus nobilis/Lavandula spp./Lobelia siphilitica/Mansoa alliacea/Melaleuca cajuputi/Mentha longifolia/Mikania guaco/Minquartia guianensis/Morinda citrifolia/Petroselinum crispum/Peumus boldus/Phlebodium aureum/Phytolacca americana/Pinus sylvestris/Piper methysticum/Piper peltatum/Plantago major/Polygonum hydropiper/Populus sp./Prunella vulgaris/Ptychopetalum olacoides/Rauvlfia tetraphylla/Salix alba/Sassafras albidum/Selenicereus grandiflorus/Smilax aristolochiifolia/Spondias mombin/Stellaria media/Stephania tetrandra/Swartzia polyphylla/Tabebuia spp./Tanacetum parthenium/Taraxacum officinale/Tephrosia sinapou/Teucrium chamaedrys/Trifolium pratense/Umbellularia california/Uncaria tomentosa/Urtica dioica/Zanthoxylum clava-herculis/Zanthoxylum spp.
Antirhinoviral	Uncaria tomentosa/Zingiber officinale
Antiribosomal	Celosia argentea/Dianthus caryophyllus/Dianthus chinensis/Luffa aegyptiaca/Spinacia oleracea
Antisalmonella	Diphysa americana
Antisarcomic	Aloe ferox/Ananas comosus/Armoracia rusticana/Auricularia spp./Bursera graveolens/Calendula officinalis/Caltha palustris/Casearia sylvestris/Cetraria islandica/Chelidonium majus/Ficus carica/Hagenia abyssinica/Impatiens capensis/Lithospermum erythrorhizon/Mallotus philippensis/Marsdenia cundurango/Maytenus ilicifolia/Morinda citrifolia/Nasturtium officinale/Pistacia lentiscus/Plumeria rubra/Rabdosia spp./Rehmannia glutinosa/Rheum palmatum/Saraca indica/Solanum dulcamara/Solanum melongena/Sonchus oleraceus/Tabebuia spp./Uncaria tomentosa/Usnea spp./Withania somnifera/Xanthium strumarium
Antisasmodic	Acacia farnesiana
Antischistosomal	Aframomum melegueta/Marrubium vulgare
Antisciatic	Ananas comosus
Antisclerotic	Crataegus spp./Olea europaea
Antiscorbuti	Lepidium sativum
Antiscorbutic	Acmella oleracea/Ananas comosus/Annona muricata/Ayapana triplinervis/Batis maritima/Berberis vulgaris/Brassica oleracea/Brassica rapa/Bromelia plumieri/Ceanothus americanus/Citrus aurantiifolia/Citrus limon/Cochlearia officinalis/Drimys winteri/Genipa americana/Glechoma hederacea/Hibiscus sabdariffa/Jatropha curcas/Linaria vulgaris/Maranta arundinacea/Medicago sativa/Musa x/Myrciaria dubia/Ononsis spinosa/Oxalis acetosella/Portulaca oleracea/Rollinia mucosa/Rumex acetosa/Rumex aquaticus/Rumex crispus/Sclerocarya birrea/Sesuvium portulacastrum/Sorbus americana/Tamarindus indica/Tetragonia tetragonoides/Teucrium scorodonia/Tropaeolum majus/Tropaeolus majus/Vaccinium macrocarpum/Veronica becca/Veronica officinalis/Vinca minor
Antiscrofula	Calathea allouia/Rumex aquaticus/Stillingia sylvatica
Antiseborrheic	Crataegus spp.
Antisecretagogue	Atropa belladonna
Antisecretory	Achyranthes aspera/Bixa orellana/Bocconia frutescens/Cassia fistula/Coptis spp./Hydrastis canadensis/Hyptis verticillata/Leucanthemum vulgare/Mikania guaco/Ocimum tenuiflorum/Pluchea carolinensis/Ribes nigrum/Tanacetum parthenium/Zingiber officinale
Antisenility	Gynostemma pentaphyllum
Antiseptic	Abelmoschus moschatus/Abies balsamea/Acacia catechu/Acacia farnesiana/Acalypha arvensis/Acanthospermum hispidum/Achillea millefolium/Achyranthes aspera/Achyrocline satureioides/Acmella oleracea/Aconitum napellus/Acorus calamus/Acrtostaphylos uva-ursi/Adiantum capillus-veneris/Aegle marmelos/Aframomum melegueta/Agathosma betulina/Agave americana/Ageratum conyzoides/Agrimonia eupatoria/Ailanthus altissima/Albizia lebbeck/Allamanda cathartica/Allium cepa/Allium sativum/Allium schoenoprasum/Allium ursinum/Aloe vera/Aloysia citriodora/Aloysia citrodora/Alpinia galanga/Althaea officinalis/Amaranthus caudatus/Ambrosia arborescens/Ambrosia peruviana/Anacardium occidentale/Anagallis arvensis/Andrographis paniculata/Anemone nemorosa/Anemopsis californica/Anemore pulsatilla/Anethum graveolens/Angelica sinensis/Angostura officinalis/Annona cherimola/Annona muricata/Annona squamosa/Apium graveolens/Aralia racemosa/Arbutus unedo/Arctium lappa/Areca catechu/Argemone mexicana/Aristolochia serpentaria/Aristolochia triangularis/Aristolochia trilobata/Aristotelia chilensis/Armoracia rusticana/Arnica montana/Artemisia abrotanum/Artemisia absinthium/Artemisia afra/Artemisia ludoviciana/Artemisia sodiroii/Artemisia vulgaris/Aspidosperma excelsum/Astragalus membranaceus/Atractylodes japonica/Atractylodes lancea/Auricularia spp./Ayapana triplinervis/Azadirachta indica/Baccharis articulata/Baptisia tinctoria/Berberis aristata/Berberis vulgaris/Bergenia crassifolia/Beta vulgaris/Betula lenta/Betula spp./Bidens pilosa/Bidens tripartita/Biophytum sensitivum/Bixa orellana/Bocconia frutescens/Boerhavia diffusa/Boswellia sacra/Bourreria succulenta/Brassica juncea/Brassica napus/Brassica oleracea/Brassica rapa/Bridens pilosa/Broussonetia papyrifera/Bruddleja americana/Brugmansia suaveolens/Brunfelsia grandiflora/Bryophyllum pinnatum/Bulnesia sarmientoi/Bursera simaruba/Caesalpinia pulcherrima/Caladium bicolor/Calea urficifolia/Calendula officinalis/Calluna vulgaris/Calophyllum brasiliense/Calycophyllum spruceanum/Camellia sinensis/Canavalia ensiformis/Cannabis sativa/Capraria biflora/Capsicum frutescens/Capsicum spp./Cardiospermum halicacabum/Carica papaya/Carpobrotus edulis/Carum carvi/Casearia sylvestris/Cassia fistula/Cassia grandis/Catharanthus roseus/Caulophyllum thalictroides/Ceanothus americanus/Cedrus deodara/Ceiba pentandra/Centaurea cyanus/Centella asiatica/Ceratonia siliqua/Cetraria islandica/Chamaemelum nobile/Chamaesyce hirta/Chaptalia nutans/Chelidonium majus/Chenopodium ambrosioides/Chimaphila spp./Chiococca alba/Chlorella spp./Chondrodendron tomentosum/Chromolaena odorata/Chrysanthemum x/Cinchona officinalis/Cinchona pubescens/Cinnamomum aromaticum/Cinnamomum camphora/Cinnamomum verum/Cissampelos pareira/Cissus verticillata/Citrullus lanatus/Citrus aurantiifolia/Citrus reticulata/Citrus sinensis/Citrus x/Cnicus benedictus/Coccinia grandis/Cochlearia officinalis/Cocos nucifera/Coffea arabica/Cola spp./Commiphora myrrha/Commiphora wightii/Convallaria majalis/Copaifera langsdorffii/Copaifera langsdorfii/Copaifera officinalis/Coptis spp./Cordia alliodora/Coriandrum sativum/Coriaria ruscifolia/Cornus florida/Costus spicatus/Couma macrocarpa/Crescentia cujete/Crocus sativus/Croton eluteria/Croton lechleri/Cuminum cyminum/Cupressus sempervirens/Curcuma longa/Cuscuta americana/Cymbopogon citratus/Cyperus odoratus/Datura stramonium/Daucus carota/Desmodium incanum/Dictamnus albus/Dioscorea bulbifera/Diphysa americana/Dipteryx odorata/Dodonaea viscosa/Drimys winteri/Drosera ramentacea/Drosera rotundifolia/Dryopteris filix-mas/Dysphania ambrosioides/Echinacea spp./Eclipta prostrata/Elettaria cardamomum/Elytrigia repens/Epilobium angustifolium/Epimedium spp./Equisetum bogotense/Equisetum giganteum/Eriodictyon californicum/Eryngium foetidum/Erysimum cheiri/Erythrina fusca/Erythrina ulei/Erythrophleum suaveolens/Erythroxylum verna/Eucalyptus globulus/Eugenia uniflora/Eupatorium glutinosum/Euphorbia lathyris/Euphorbia tirucallis/Euphrasia spp./Fagus grandifolia/Faramea occidentalis/Ferula gummosa/Ficus carica/Ficus insipida/Filipendula ulmaria/Foeniculum vulgare/Forsythia suspensa/Fragaria vesca/Fragaria virginiana/Frangula purshiana/Fucus vesiculosus/Fumaria officinalis/Galium odoratum/Garcinia cambogia/Garcinia hanburyi/Gardenia jasminoides/Gaultheria procumbens/Genipa americana/Geranium maculatum/Geum rivale/Geum urbanum/Ginko biloba/Gliricidia sepium/Gloriosa superba/Glycyrrhiza glabra/Gossypium barbadense/Grindelia squarrosa/Guariacum officinale/Guazuma ulmifolia/Gypsophila paniculata/Haematoxylum campechianum/Hamamelis virginiana/Hamelia patens/Harugana madagascariensis/Hedeoma pulegioides/Hedera helix/Heisteria acuminata/Hemidesmus indicus/Heracleum sphondylium/Herniaria glabra/Hibiscus sabdariffa/Himatanthus sucuuba/Homalomena spp./Houttuynia cardata/Humulus lupulus/Hydnocarpus spp./Hydrastis canadensis/Hymenaea courbaril/Hypericum perforatum/Hyptis verticillata/Hyssopus officinalis/Iberis amara/Ilex guayusa/Illicium verum/Impatiens capensis/Indigofera suffruticosa/Indigofera tinctoria/Inula helenium/Inula racemosa/Ipomoea alba/Ipomoea batatas/Isatis tinctoria/Jacaranda caucana/Jateorhiza palmata/Jatropha curcas/Jatropha gossypiifolia/Juglans cinerea/Juglans nigra/Juglans regia/Juniperus Communis/Juniperus virginiana/Justicia adhatoda/Justicia pectoralis/Kalmia latifolia/Kigelia africana/Knautia arvensis/Krameria lappacea/Lantana camara/Larix decidua/Larix laricina/Larrea tridentata/Laurus nobilis/Lavandula spp./Lawsonia inermis/Lentinus edodes/Lepidium meyenii/Leucaena leucocephala/Levisticum officinale/Ligustrum lucidum/Ligustrum vulgare/Lippia alba/Lippia graveolens/Lippia javanica/Liquidambar orientalis/Liriodendron tulipifera/Lithospermum erythrorhizon/Lithospermum ruderale/Lobaria pulmonaria/Lonicera caprifolium/Lonicera japonica/Lophophora williamsii/Luffa aegyptiaca/Luffa operculata/Lycopersicon esculentum/Lygodium venustum/Lysimachia nummularia/Lythrum salicaria/Maclura tinctoria/Mahonia aquifolium/Mallotus philippensis/Malva sylvestris/Mammea americana/Mangifera indica/Manihot esculenta/Marrubium vulgare/Marsdenia cundurango/Martinella obovata/Matricaria recutita/Maytenus boaria/Maytenus ilicifolia/Melaleuca alternifolia/Melaleuca cajuputi/Melaleuca leucadendra/Melaleuca viridilora/Melia azedarach/Melissa officinalis/Mentha arvensis/Mentha longifolia/Mentha pulegium/Mentha spicata/Mentha x/Menyanthes trifoliata/Mikania banisteriae/Mikania guaco/Mikania micrantha/Mimosa pudica/Minquartia guianensis/Mirabilis jalapa/Mirabilis multiflora/Momordica charantia/Monarda punctata/Moringa oleifera/Murraya koenigii/Musa x/Myrciaria dubia/Myristica fragrans/Myroxylon balsamum/Myrtus communis/Nardostachys grandiflora/Nasturtium officinale/Nepeta cataria/Neriu oleander/Neurolaena lobata/Nicotiana tabacum/Nigella sativa/Nuphar variegata/Nymphaea odorata/Ocimum campechianum/Ocimum tenuiflorum/Ononsis spinosa/Ophioglossum vulgatum/Opuntia ficus-indica/Origanum majorana/Origanum vulgare/Orthosiphon aristatus/Oxalis acetosella/Pachira aquatica/Paeonia lactiflora/Paeonia suffruticosa/Panax ginseng/Papaver rhoeas/Parkinsonia aculeata/Parthenium integrifolium/Passiflora caerulea/Passiflora incarnata/Paullinia cupana/Paullinia yoko/Pedilanthus tithymaloides/Peganum harmala/Perilla frutescens/Persea americana/Petiveria alliacea/Petroselinum crispum/Peumus boldus/Phellodendron amurense/Phyllanthus niruri/Physalis angulata/Physalis peruviana/Phytolacca rivinoides/Picea abies/Picea glauca/Picrama excelsa/Picrasma excelsa/Picrorhiza kurrooa/Pimenta dioica/Pimenta racemosa/Pimenta rece/Pimpinella anisum/Pinus elliotii/Pinus palustris/Pinus pinaster/Pinus sylvestris/Piper aduncum/Piper auritum/Piper betle/Piper cubeba/Piper longum/Piper methysticum/Piper nigrum/Piper peltatum/Piper umbellatum/Pistacia lentiscus/Plantago major/Pluchea carolinensis/Pluchea sagittalis/Plumbago Zeylanica/Plumeria rubra/Podophyllum peltatum/Pogostemon cablin/Polygonum aviculare/Polygonum bistorta/Polygonum hydropiper/Populus sp./Portulaca oleracea/Potentilla anserina/Potentilla erecta/Priva lappulacea/Prosopis chilensis/Protium copal/Prunella vulgaris/Prunus serotina/Pseudognaphalium viravira/Pseudotsuga menziesii/Psidium guajava/Psophocarpus tetragonolobus/Ptelea trifoliata/Punica granatum/Pyrus communis/Quassia amara/Quercus spp./Randia aculeata/Ranunculus acris/Ranunculus bulbosus/Ranunculus ficaria/Ranunculus sceleratus/Raphanus raphanistrum/Raphanus sativus/Rehmannia glutinosa/Rheum palmatum/Rhus aromatica/Rhus glabra/Ribes nigrum/Ribes rubrum/Ricinus communis/Rollinia mucosa/Rosa canina/Rosmarinus officinalis/Rubia cordifolia/Rubus idaeus/Ruellia tuberosa/Rumex acetosa/Rumex crispus/Ruta graveolens/Saccharomyces cerevisiae/Salix alba/Salix babylonica/Salvia fruticosa/Salvia miltiorrhiza/Salvia officinalis/Salvia sclarea/Sambucus canadensis/Sambucus peruviana/Sanguinaria canadensis/Sanguisorba officinalis/Sanicula europaea/Santalum album/Saponaria officinalis/Sassafras albidum/Satureja sp./Saussurea costus/Schinus terebinthifolius/Schisandra chinensis/Sclerocarya birrea/Scoparia dulcis/Scutellaria baicalensis/Sempervivum tectorum/Senna alata/Senna occidentalis/Senna reticulata/Senna tora/Serenoa repens/Sida rhombifolia/Simarouba glauca/Smallanthus sonchifolius/Smilax aristolochiifolia/Solanum dulcamara/Solanum melongena/Solanum torvum/Solanum tuberosum/Solidago virgaurea/Sonchus oleraceus/Sorbus americana/Sphagneticola trilobata/Spondias mombin/Stachys officinalis/Stachys palustris/Stachytarpheta jamaicensis/Stephania tetrandra/Stevia rebaudiana/Stevia rebaudina/Strophanthus sarmentosus/Styphnolobium japonicum/Styrax benzoin/Swartzia polyphylla/Swietenia mahagoni/Syzygium aromaticum/Syzygium cumini/Tabebuia barbata/Tabebuia rosea/Tabebuia spp./Tabernaemontana citrifolia/Tagetes lucida/Tagetes minuta/Tagetes patla/Tagetes pusilla/Tamarindus indica/Tanacetum cinerariifolium/Tanacetum parthenium/Tanacetum vulgare/Taraxacum officinale/Tecoma stans/Tephrosia sinapou/Terminalia catappa/Terminalia chebula/Tetradenia riparia/Tetradium ruticarpum/Teucrium canadense/Teucrium chamaedrys/Teucrium polium/Teucrium scordium/Teucrium scorodonia/Theobroma cacao/Thespesia populnea/Thevetia peruviana/Thuja occidentalis/Thymus serpyllum/Thymus vulgaris/Tilia spp./Trachyspermum ammi/Trichosanthes kirilowii/Tridax procumbens/Trifolium pratense/Trigonella foenum-graecum/Trillium erectum/Triticum aestivum/Tropaeolum majus/Tropaeolum tuberosum/Tropaeolus majus/Tsuga canadensis/Turbina corymbosa/Turnera diffusa/Ulmus rubra/Urtica dioica/Usnea spp./Vaccinium macrocarpum/Vaccinium myrtillus/Vaccinium vitis-idaea/Valeriana jatamansi/Valeriana officinalis/Vanilla planifolia/Verbena officinalis/Veronicastrum virginicum/Vincetoxicum hirundinaria/Viola odorata/Viola tricolor/Viscum album/Vismia spp/Vitex agnus-castus/Vitex negundo/Vitis vinifera/Warburgia salutaris/Warszewiczia coccinea/Withania somnifera/Xanthium spinosum/Xanthium strumarium/Xanthorhiza simplicissima/Ximenia americana/Xylopia aethiopica/Zanthoxylum armatum/Zanthoxylum clava-herculis/Zingiber officinale
Antiserotonin	Actaea racemosa/Ageratum conyzoides/Andrographis paniculata/Angelica sinensis/Cannabis sativa/Corynanthe pachycera/Inula racemosa/Iris spp/Marrubium vulgare/Nadina domestica/Nardostachys grandiflora/Phyllanthus emblica/Tagetes patula/Tanacetum parthenium
Antiserotoninergic	Zingiber officinale
Antishigella	Diphysa americana
Antisialagogue	Atropa belladonna/Biophytum sensitivum/Brugmansia suaveolens/Brugmansia versicolor/Calotropis procera/Cinchona officinalis/Cinnamomum tamala/Datura stramonium/Hyoscyamus niger/Justicia adhatoda/Lysimachia nummularia/Mandragora officinarum/Nepeta cataria/Salvia officinalis/Schisandra chinensis
Antisickling	Cardiospermum halicacabum/Ceiba pentandra/Impatiens capensis/Pinus pinaster/Vanilla planifolia
