activity	sp2
Adaptogen	Agathosma betulina/Andrographis paniculata/Astragalus membranaceus/Bacopa monnieri/Cayaponia tayuya/Centella asiatica/Eleutherococcus senticosus/Ganoderma lucidum/Gynostemma pentaphyllum/Hebanthe eriantha/Neriu oleander/Ocimum tenuiflorum/Panax ginseng/Panax pseudoginseng/Panax quinquefolius/Schisandra chinensis/Tinospora cordifolia/Verbena officinalis/Withania somnifera
Adaptogenic	Bacopa monnieri/Boerhavia diffusa/Evolvulus alsinoides/Hebanthe eriantha/Passiflora incarnata/Paullinia cupana/Ptychopetalum olacoides/Turnera diffusa
Addison's Disease	Glycyrrhiza glabra
Adenoma	Capsicum spp./Costus speciosus/Curcuma longa
Adenosis	Allium cepa/Allium sativum/Alpinia officinarum/C. calisaya/C. officinalis/C. pubescens/Capparis spinosa/Crocus sativus/Curcuma longa/Curcuma zedoaria/Glycyrrhiza glabra/Moringa oleifera/Myrtus communis/Pimenta recemosa/Pistacia lentiscus/Prunus dulcis/Schinus terebinthifolius/Tamarindus indica/Theobroma cacao/Trigonella foenum-graecum/Zingiber officinale
Adnexosis	Commiphora myrrhea
Adrenal Insufficiency	Glycyrrhiza glabra
Adrenal stimulant	Eleutherococcus senticosus/Glycyrrhiza glabra/Rehmannia glutinosa
Adrenergic	Annona squamosa/Bupleurum chinense/Capsicum spp./Ipomoea carnea/Jatropha macrantha/Maytenus ilicifolia/Mimosa pudica/Panax ginseng/Phyllanthus emblica/Plectranthus barbatus/Silybum marianum/Tylophora indica
Adrenocortical stimulant	Andrographis paniculata/Borago officinalis/Tylophora indica
adrenocorticotropic hormone genic 	Aesculus hippocastanum
Adrenolytic	Aspidosperma quebracho-blanco/Codonopsis spp.
Advanced glycation endproducts inhibitor	Ilex paraguariensis/Senna tora
Aegilops	Allium sativum/Crocus sativus
Aggregant	Agrimonia eupatoria/Bergenia crassifolia
Aging	Allium sativum/Capparis spinosa/Peumus boldus/Trigonella foenum-graecum/Zingiber officinale
Agoraphobia	Myristica fragrans
Ague	Alpinia officinarum/Amomum compactum/C. calisaya/C. officinalis/C. pubescens/Capsicum spp./Elettaria cardamomum/Lindera benzoin/Sassafras albidum
Alcohol dehydrogenase inhibitor	Pueraria montana
Alcoholism	C. calisaya/C. officinalis/C. pubescens/Capsicum spp./Elettaria cardamomum/Tamarindus indica/Zingiber officinale
Aldose reductase inhibitor	Acanthospermum australe/Anacardium occidentale/Astragalus membranaceus/Bixa orellana/Broussonetia papyrifera/Cannabis sativa/Chamaesyce hirta/Corydalis ambigua/Glycyrrhiza glabra/Haematoxylum campechianum/Ipomoea batatas/Myrcia multiflora/Myrciaria dubia/Perilla frutescens/Phyllanthus niruri/Rehmannia glutinosa/Scutellaria baicalensis/Tagetes erecta/Tagetes patla/Tropaeolum tuberosum
Alexeteric	Abrus precatorius/Acacia farnesiana/Acacia nilotica/Allium sativum/Amomum aromaticum/Aristolochia trilobata/Ayapana triplinervis/Belamcanda chinensis/Bixa orellana/Boerhavia diffusa/Cajanus cajan/Calotropis gigantea/Cassia fistula/Cinnamomum tamala/Cissampelos pareira/Coccinia grandis/Coptis spp./Coriandrum sativum/Desmodium gangeticum/Dianthus caryophyllus/Dioscorea bulbifera/Dorstenia contrajerva/Dorstenia contrayerba/Eclipta prostrata/Elettaria cardamomum/Evolvulus alsinoides/Ferula assa-foetida/Ficus carica/Foeniculum vulgare/Glechoma hederacea/Gloriosa superba/Glycyrrhiza glabra/Gymnema sylvestre/Juniperus Communis/Lantana camara/Maranta arundinacea/Melia azedarach/Michelia champaca/Mimosa pudica/Moringa oleifera/Mucuna pruriens/Murraya koenigii/Nardostachys grandiflora/Nelumbo nucifera/Ocimum basilicum/Ocimum tenuiflorum/Phyllanthus emblica/Piper nigrum/Pluchea carolinensis/Plumbago Zeylanica/Portulaca oleracea/Pterocarpus santalinus/Rheum australe/Rubia cordifolia/Santalum album/Senna occidentalis/Senna tora/Spinacia oleracea/Strychnos ignatii/Strychnos nux-vomica/Tabebuia spp./Tephrosia purpurea/Valeriana jatamansi/Vetiveria zizanioides/Xanthium strumarium
Algicide	Acacia nilotica/Acrtostaphylos uva-ursi/Callicarpa americana/Genipa americana/Peganum harmala/Uncaria gambir
Allelochemic	Ageratum conyzoides/Canavalia ensiformis/Mucuna pruriens
