source,target
C00001268,6364
C00000003,6466
C00053824,6517
C00030540,6544
C00053828,6548
C00046784,6557
C00053987,6568
C00054019,6569
C00034423,6581
C00048479,6584
C00029462,6590
C00001550,6613
C00052112,6657
C00002857,6683
C00002447,6716
C00011201,6717
C00052160,6723
C00001430,6736
C00044054,6738
C00002154,6748
C00055996,6753
C00002568,6758
C00002198,6760
C00002864,6773
C00043271,6780
C00042472,6781
C00055801,6782
C00019348,6847
C00024693,6854
C00052157,6857
C00054277,6870
C00001411,6890
C00053966,6895
C00053789,6904
C00053610,6914
C00000151,6919
C00054096,6920
C00018287,6928
C00051910,6971
C00000155,6989
C00033340,6990
C00031273,6998
C00040678,7020
C00031097,7028
C00032269,7041
C00002646,7041
C00056272,7043
C00026478,7047
C00026981,7054
C00052653,7055
C00052398,7060
C00035487,7118
C00029479,7121
C00035926,7121
C00056094,7124
C00002741,7127
C00053972,7136
C00034054,7150
C00007546,7150
C00044235,7151
C00053157,7165
C00051735,7172
C00035016,7194
C00031034,7196
C00029435,7213
C00052216,7222
C00056020,7237
C00036481,7244
C00023720,7253
C00052609,7267
C00052652,7284
C00052694,7288
C00052577,7304
C00052597,7311
C00053412,7314
C00053169,7342
C00029456,7361
C00030331,7362
C00053958,7406
C00002685,7410
C00000334,7413
C00040822,7420
C00048480,7420
C00016318,7424
C00030754,7428
C00001304,7431
C00030751,7456
C00030771,7456
C00003061,7461
C00003060,7462
C00003040,7463
C00002698,7469
C00055682,7470
C00052720,7476
C00029536,7478
C00041076,7478
C00052883,7500
C00037855,7501
C00043309,7504
C00052884,7507
C00055788,7508
C00052810,7519
C00052690,7530
C00052707,7563
C00052886,7586
C00054091,7595
C00035015,7654
C00056002,7669
C00048498,7671
C00056000,7705
C00047546,7725
C00056042,7731
C00053979,7738
C00035617,7749
C00000318,7768
C00052596,7771
C00053346,7772
C00052891,7797
C00035613,7799
C00035615,7800
C00036569,7808
C00055679,7811
C00014894,7817
C00053481,7826
C00052796,7847
C00001267,7848
C00054002,7858
C00052136,7859
C00052133,7895
C00052096,7896
C00034296,7922
C00035778,7929
C00052612,7938
C00055604,7947
C00035853,7962
C00044142,7965
C00052902,7967
C00037170,7968
C00052685,7971
C00052646,7976
C00055749,7981
C00035546,7983
C00054115,7984
C00054021,7989
C00001208,7991
C00035729,7997
C00053664,8003
C00052167,8034
C00055954,8042
C00035611,8048
C00035690,8050
C00001254,8051
C00049006,8058
C00054024,8061
C00051876,8082
C00053307,8094
C00001413,8102
C00000358,8103
C00054006,8125
C00035700,8129
C00034880,8130
C00035692,8139
C00034882,8141
C00030829,8158
C00030758,8163
C00035557,8164
C00052907,8167
C00030100,8174
C00030099,8175
C00030804,8175
C00007421,8180
C00030755,8181
C00030153,8182
C00001248,8182
C00019556,8184
C00032442,8186
C00030152,8193
C00030644,8194
C00030759,8201
C00030154,8205
C00032309,8209
C00001211,8215
C00029422,8221
C00030165,8222
C00001724,8223
C00035905,8257
C00019558,8299
C00029476,8357
C00035059,8363
C00037471,8369
C00054088,8375
C00055955,8405
C00002498,8417
C00042105,8421
C00055796,8433
C00033837,8434
C00002666,8438
C00028706,8454
C00002682,8468
C00040821,8487
C00030761,8499
C00055681,8500
C00038191,8512
C00001712,8550
C00001890,8564
C00002491,8616
C00000116,8617
C00034600,8635
C00007558,8655
C00054053,8658
C00052877,8663
C00039881,8679
C00001203,8742
C00018099,8768
C00035535,8785
C00048326,8794
C00052868,8794
C00007674,8794
C00002740,8815
C00052969,8853
C00001308,8857
C00007405,8871
C00001218,8892
C00053341,8897
C00030101,8904
C00035701,8908
C00052970,8909
C00030830,8914
C00053574,8918
C00002256,8931
C00001789,8969
C00029505,9007
C00037046,9012
C00035022,9015
C00036386,9016
C00052033,9060
C00045185,9061
C00000947,9064
C00001364,9085
C00055764,9211
C00054105,9223
C00042269,9231
C00053733,9261
C00001409,9294
C00001422,9308
C00032618,9338
C00002101,9415
C00001570,9651
C00019637,9700
C00027432,9727
C00001348,9750
C00034775,9862
C00011400,9862
C00042278,9895
C00002660,9958
C00001854,10074
C00002253,10098
C00032863,10108
C00052348,10111
C00053619,10113
C00003521,10114
C00030410,10140
C00002846,10141
C00001872,10143
C00001878,10144
C00025976,10146
C00027576,10146
C00024007,10148
C00018258,10148
C00045734,10150
C00035307,10152
C00025827,10153
C00027304,10154
C00001822,10154
C00002838,10163
C00002821,10166
C00002861,10168
C00035788,10175
C00030226,10189
C00002108,10198
C00002852,10205
C00001836,10206
C00002789,10207
C00000568,10208
C00002453,10211
C00002477,10212
C00001849,10219
C00020112,10225
C00002177,10227
C00002488,10228
C00002737,10231
C00026325,10235
C00026326,10235
C00001820,10237
C00002739,10248
C00002058,10249
C00053175,10251
C00052369,10253
C00053963,10254
C00000112,10256
C00001402,10257
C00052323,10258
C00053702,10263
C00010876,10281
C00054121,10286
C00055789,10297
C00000328,10321
C00039027,10329
C00052584,10341
C00052350,10349
C00055658,10351
C00052578,10354
C00002019,10355
C00000156,10364
C00055666,10369
C00029515,10393
C00029471,10394
C00052155,10413
C00001227,10416
C00001189,10430
C00002661,10436
C00001204,10457
C00007429,10459
C00007426,10465
C00034997,10466
C00007430,10466
C00001209,10467
C00035114,10469
C00034311,10472
C00000871,10569
C00051822,10624
C00019420,10639
C00004657,10643
C00003106,10657
C00002450,10658
C00002714,10659
C00002069,10666
C00001040,10680
C00000114,10685
C00055602,10686
C00052590,10687
C00034850,10690
C00007303,10690
C00052663,10696
C00052591,10698
C00010974,10703
C00003114,10719
C00036577,10741
C00002674,10742
C00002476,10748
C00036627,10772
C00031480,10787
C00053103,10795
C00048276,10797
C00010967,10812
C00053669,10819
C00036581,10820
C00042732,10836
C00052441,10917
C00010280,10931
C00054035,10932
C00018677,10971
C00052177,10972
C00055999,10975
C00001410,10983
C00021684,11004
C00001228,11005
C00035639,11006
C00034834,11008
C00001085,11055
C00042068,11056
C00025997,11066
C00002704,11092
C00052665,11110
C00023719,11122
C00001446,11128
C00055469,11161
C00053264,11163
C00055661,11173
C00001223,11197
C00053262,11234
C00052649,11265
C00052120,11266
C00000486,11279
C00001873,11281
C00055606,11306
C00053532,11318
C00055607,11326
C00055603,11327
C00052613,11335
C00052681,11349
C00052145,11376
C00055407,11379
C00052589,11386
C00002017,11388
C00034433,11389
C00053663,11428
C00000861,11463
C00010935,11467
C00042776,11503
C00052141,11509
C00035500,11513
C00055940,11514
C00035548,11517
C00052104,11550
C00048949,11552
C00052742,11558
C00035484,11582
C00053953,11583
C00001244,11617
C00036263,11622
C00030879,11635
C00030471,11636
C00033776,11648
C00053114,11686
C00052274,11756
C00002792,11768
C00026244,11788
C00007443,11811
C00036459,11839
C00052654,11843
C00036465,11847
C00001160,11850
C00055642,11874
C00052384,11915
C00002658,11920
C00017066,11958
C00033541,12005
C00053660,12020
C00052687,12023
C00038233,12025
C00042156,12032
C00000733,12039
C00052128,12046
C00030975,12088
C00052743,12097
C00055978,12105
C00044826,12127
C00046051,12127
C00047056,12127
C00049046,12127
C00044062,12150
C00053185,12170
C00055659,12178
C00053483,12206
C00001245,12232
C00007406,12290
C00052149,12292
C00054049,12321
C00053313,12329
C00052099,12374
C00001247,12377
C00054009,12386
C00048561,12388
C00035879,12389
C00001265,12391
C00035560,12395
C00056073,12397
C00030472,12398
C00030827,12401
C00030470,12403
C00035094,12404
C00035592,12405
C00030958,12406
C00030478,12407
C00034614,12408
C00001260,12409
C00001250,12410
C00001270,12411
C00035641,12412
C00053667,12413
C00001824,12441
C00042023,12462
C00043859,12473
C00052647,12489
C00053681,12523
C00053804,12524
C00007422,12530
C00056027,12533
C00032409,12534
C00018849,12541
C00036658,12548
C00002440,12565
C00029502,12575
C00029809,12581
C00053569,12591
C00032307,12592
C00052342,12600
C00030805,12620
C00001366,12647
C00003063,12649
C00051905,12656
C00052660,12665
C00034760,12741
C00053196,12756
C00010859,12763
C00001239,12921
C00052586,12995
C00035241,13058
C00053820,13185
C00029463,13187
C00052582,13190
C00052113,13198
C00054812,13204
C00054114,13246
C00030222,13250
C00053485,13357
C00054007,13367
C00055790,13381
C00039855,13387
C00054020,13561
C00052755,13572
C00055656,13576
C00053156,13584
C00054358,13625
C00052570,13627
C00019143,13650
C00019697,13712
C00007423,13849
C00052636,13854
C00052885,13885
C00018726,13916
C00029449,14079
C00000211,14090
C00010866,14104
C00035643,14228
C00053520,14235
C00037063,14256
C00032443,14257
C00027734,14279
C00052620,14286
C00056171,14296
C00044952,14310
C00053638,14327
C00040946,14340
C00030933,14529
C00002693,14530
C00016089,14537
C00003244,14631
C00045291,14697
C00054029,14925
C00025795,14947
C00043507,14964
C00007366,14985
C00052571,15037
C00040794,15109
C00055633,15268
C00032013,15294
C00001782,15376
C00054008,15380
C00035785,15394
C00052276,15406
C00053635,15420
C00055640,15448
C00053927,15506
C00048375,15600
C00049004,15606
C00053871,15607
C00053306,15609
C00053572,15612
C00001865,15623
C00022591,15781
C00055797,15906
C00053576,15979
C00052164,16054
C00052876,16064
C00003609,16142
C00053822,16217
C00053032,16237
C00035489,16251
C00054077,16330
C00001343,16486
C00025675,16573
C00001243,16590
C00054270,16591
C00000810,16666
C00034374,16668
C00000304,16682
C00035062,16724
C00010891,16724
C00052098,16732
C00001861,16754
C00002736,16822
C00056088,16846
C00049940,16871
C00053301,16898
C00019688,16950
C00055667,16979
C00054070,17076
C00053866,17085
C00053588,17121
C00055628,17129
C00002686,17198
C00000157,17355
C00035702,17525
C00030905,17536
C00035717,17536
C00055638,17628
C00055569,17630
C00055575,17631
C00032352,17648
C00030959,17697
C00053662,17783
C00055791,17835
C00055617,18027
C00036515,18100
C00054093,18170
C00053526,18189
C00052629,18302
C00053865,18431
C00053718,18597
C00052374,18598
C00055811,18936
C00051832,18991
C00026243,18992
C00027159,19009
C00001898,19009
C00000148,19100
C00048314,19212
C00003651,19212
C00041687,19241
C00000824,19244
C00035087,19255
C00044987,19266
C00052712,19309
C00001246,19310
C00018688,19565
C00034763,19602
C00055443,19800
C00030768,19844
C00018665,19972
C00053819,20149
C00037560,20245
C00052634,20474
C00001773,20485
C00004070,20489
C00042095,20509
C00036456,20525
C00055573,20632
C00055568,20633
C00055574,20634
C00055570,20635
C00055572,20636
C00055571,20656
C00055567,20661
C00028688,20725
C00038258,20746
C00055639,20831
C00053089,20834
C00037570,20966
C00035797,21122
C00028005,21171
C00001827,21171
C00052562,21205
C00052548,21206
C00001812,21222
C00053319,21236
C00002333,21368
C00001920,21470
C00041092,21648
C00052547,21672
C00051776,21692
C00038719,21707
C00002840,21742
C00052115,21863
C00051999,22176
C00027433,22179
C00030151,22199
C00052588,22201
C00052559,22207
C00003325,22226
C00033439,22227
C00037051,22227
C00055803,22383
C00053300,22434
C00002675,22462
C00029455,22556
C00053316,22873
C00024671,23011
C00002319,23135
C00055911,23235
C00019577,23327
C00001825,23335
C00035911,23367
C00053305,23524
C00001355,23736
C00053823,23741
C00027724,23757
C00027729,23757
C00002694,24135
C00052623,24216
C00002145,24360
C00000747,24417
C00052661,24847
C00016488,24995
C00055953,25068
C00000561,25102
C00042759,25125
C00048560,25311
C00055538,25565
C00029610,25612
C00053661,25913
C00052678,25916
C00051973,26136
C00002485,26305
C00052633,26332
C00052650,26335
C00000811,26447
C00053571,26454
C00053581,26519
C00029532,26548
C00053868,26808
C00051837,26819
C00002859,26905
C00055730,27208
C00052103,27476
C00054179,27641
C00027451,27694
C00012715,28237
C00051955,28523
C00002439,28619
C00001340,28782
C00029577,29052
C00053567,29075
C00035978,29212
C00053308,29303
C00029420,29435
C00011484,29632
C00013224,29746
C00027140,30058
C00043440,30323
C00054583,30771
C00025676,30835
C00053592,30916
C00041045,31069
C00001720,31116
C00003886,31161
C00054069,31210
C00034453,31219
C00052695,31226
C00053673,31229
C00052190,31231
C00035115,31234
C00055732,31236
C00041075,31238
C00029528,31242
C00002636,31244
C00035501,31246
C00052608,31252
C00000853,31253
C00052715,31256
C00054022,31261
C00035612,31265
C00053314,31266
C00048958,31272
C00035116,31276
C00035616,31283
C00055597,31285
C00030828,31289
C00032308,31291
C00037572,31292
C00052147,31347
C00032464,31401
C00042069,31404
C00025358,31415
C00027409,31415
C00040305,31553
C00001003,31553
C00053046,31703
C00054446,32065
C00054980,32093
C00002814,32209
C00052644,32594
C00056014,32735
C00052542,33002
C00001358,33032
C00034205,33037
C00052287,33037
C00052152,33109
C00031473,33306
C00002490,33306
C00021201,33472
C00003031,33606
C00053123,33645
C00035961,33960
C00042651,34059
C00044165,34167
C00000735,34231
C00023660,34687
C00026123,34781
C00035547,35408
C00054852,35960
C00052561,36247
C00052604,36554
C00054235,36744
C00052514,37153
C00045543,37246
C00053302,37982
C00049093,39172
C00003201,40024
C00001857,40305
C00034062,40452
C00001391,40539
C00052851,40604
C00052166,41143
C00052484,41169
C00055647,41209
C00055646,41282
C00019685,41635
C00036249,41922
C00003304,42295
C00018166,42831
C00010313,42978
C00037422,42994
C00018087,43186
C00018107,43559
C00018127,44259
C00000822,45056
C00054047,47346
C00033652,47364
C00003416,47936
C00048001,50200
C00048002,50201
C00025606,51106
C00027447,52499
C00000547,53232
C00025937,53266
C00002028,54445
C00004793,54799
C00017633,56296
C00052420,60700
C00052324,60838
C00054097,61007
C00035550,61015
C00052688,61020
C00053589,61030
C00053973,61030
C00055973,61040
C00035737,61041
C00055632,61048
C00055850,61123
C00053892,61126
C00054025,61137
C00055664,61235
C00056008,61275
C00053045,61293
C00053590,61294
C00036262,61303
C00052580,61346
C00003054,61362
C00032636,61400
C00054004,61416
C00019549,61503
C00053259,61888
C00054679,61926
C00001406,62258
C00053674,62332
C00036314,62335
C00053971,62362
C00035002,62374
C00055303,62378
C00010905,62385
C00000092,62389
C00056074,62433
C00001257,62434
C00021884,62566
C00052475,62842
C00053591,62851
C00054965,62913
C00002136,63123
C00002160,63224
C00032016,64782
C00007921,64802
C00003558,64945
C00052531,64960
C00026537,64961
C00019695,64968
C00003741,64971
C00002454,64972
C00000609,64981
C00001024,64982
C00019806,65008
C00017758,65021
C00038793,65029
C00003221,65030
C00053464,65048
C00053146,65056
C00008868,65056
C00000958,65064
C00001294,65067
C00019636,65070
C00052314,65072
C00055763,65076
C00030988,65080
C00035626,65084
C00048930,65084
C00008817,65084
C00000582,65090
C00054107,65093
C00052682,65097
C00036880,65126
C00003310,65156
C00026849,65171
C00002505,65188
C00037615,65238
C00019676,65246
C00007368,65252
C00018741,65269
C00036790,65366
C00040892,65366
C00000604,65373
C00001907,65380
C00052045,65482
C00007391,65533
C00053450,65550
C00003112,65575
C00002267,65576
C00003078,65689
C00010724,65717
C00001766,65752
C00018850,65807
C00028304,65911
C00026414,66078
C00052776,66085
C00056271,66093
C00053527,66141
C00041349,66308
C00026407,66313
C00032520,66548
C00007485,66603
C00002710,66654
C00054067,66827
C00010874,66841
C00000301,66948
C00052042,67069
C00010301,67179
C00026496,67206
C00025207,67228
C00026583,67484
C00001256,67521
C00055189,67524
C00001352,67678
C00055712,68057
C00052048,68060
C00047798,68065
C00036782,68066
C00000992,68071
C00000487,68072
C00054092,68073
C00001105,68077
C00000583,68079
C00030532,68081
C00037321,68082
C00002151,68085
C00002806,68111
C00003788,68112
C00025956,68123
C00001356,68134
C00053632,68140
C00054117,68146
C00000621,68148
C00054349,68149
C00052684,68152
C00051883,68161
C00001293,68167
C00001255,68171
C00002537,68184
C00003003,68213
C00002161,68221
C00002184,68222
C00000300,68229
C00002162,68230
C00001961,68231
C00002183,68232
C00002164,68235
C00047849,68244
C00003065,68252
C00037986,68253
C00055599,68260
C00002150,68261
C00000258,68262
C00002673,68289
C00053952,68294
C00001417,68313
C00010344,68316
C00001252,68345
C00010385,68346
C00040580,68352
C00007326,68374
C00010319,68381
C00001263,68406
C00043612,68424
C00002187,68433
C00000552,68438
C00018653,68460
C00036196,68477
C00007559,68482
C00037864,68486
C00000670,68781
C00003359,68827
C00007287,68841
C00028791,68933
C00001269,68972
C00007486,69103
C00017912,69134
C00052770,69160
C00044164,69188
C00035454,69301
C00054404,69415
C00037269,69421
C00056013,69423
C00000336,69470
C00002448,69502
C00002637,69505
C00007305,69507
C00042228,69510
C00054119,69602
C00052583,69705
C00054494,69816
C00036575,69865
C00000113,69867
C00039452,69894
C00037576,69968
C00055621,70140
C00032014,70164
C00055389,70315
C00052097,70346
C00030831,70619
C00055673,70627
C00043196,70639
C00052626,70723
C00044457,70775
C00047668,70775
C00001274,70813
C00053528,70914
C00048262,70954
C00010912,70954
C00035341,70962
C00010902,70962
C00053891,70966
C00038230,71034
C00052032,71077
C00019654,71080
C00001714,71203
C00001688,71204
C00000693,71398
C00025881,71450
C00052135,71545
C00042579,71552
C00000780,71724
C00018706,71902
C00018078,72172
C00042260,72185
C00042261,72186
C00017819,72214
C00019281,72246
C00002035,72258
C00002038,72259
C00024753,72271
C00000956,72276
C00008818,72277
C00000968,72281
C00008561,72282
C00002912,72284
C00030510,72291
C00000591,72300
C00025252,72301
C00053322,72303
C00002609,72303
C00053361,72304
C00000601,72307
C00024667,72310
C00003722,72320
C00024668,72322
C00001874,72323
C00003740,72326
C00025202,72338
C00025214,72340
C00001778,72341
C00001866,72343
C00001076,72344
C00017159,72355
C00041947,72369
C00001577,72376
C00001576,72378
C00001295,72386
C00000657,72388
C00000716,72391
C00008794,72426
C00008955,72427
C00008795,72428
C00033300,72435
C00002619,72435
C00017646,72447
C00029141,72457
C00028574,72473
C00054236,72486
C00003202,72502
C00003175,72503
C00038341,72512
C00002787,72521
C00045037,72536
C00002445,72537
C00046241,72584
C00027332,72616
C00011007,72620
C00043394,72626
C00023642,72629
C00036831,72631
C00003397,72646
C00026111,72704
C00012893,72724
C00018683,72725
C00042221,72732
C00037011,72734
C00015801,72740
C00003977,72815
C00002189,72819
C00049493,72889
C00040642,72937
C00003697,72965
C00018327,72968
C00024773,73044
C00001902,73053
C00023644,73055
C00000881,73062
C00001575,73065
C00018987,73067
C00046410,73071
C00002843,73072
C00025278,73078
C00001919,73078
C00017865,73110
C00000640,73117
C00045293,73118
C00035476,73147
C00003707,73154
C00008808,73160
C00003245,73174
C00032577,73178
C00019490,73193
C00019589,73200
C00000991,73202
C00008318,73205
C00003879,73207
C00003831,73210
C00018375,73213
C00002484,73230
C00037262,73253
C00003306,73285
C00026567,73293
C00030459,73299
C00017553,73305
C00051019,73307
C00054175,73309
C00003516,73309
C00001885,73337
C00001580,73360
C00046758,73361
C00001769,73391
C00028454,73397
C00001876,73397
C00007190,73399
C00028131,73400
C00001845,73400
C00003452,73401
C00023799,73402
C00051889,73404
C00003704,73432
C00020830,73440
C00001012,73447
C00053798,73448
C00001719,73453
C00012912,73465
C00003102,73467
C00025306,73481
C00025662,73481
C00025760,73481
C00001677,73484
C00052826,73486
C00053321,73509
C00001787,73534
C00002200,73549
C00053260,73563
C00000999,73571
C00016805,73572
C00017043,73574
C00017045,73576
C00003488,73588
C00001441,73604
C00008219,73607
C00002091,73614
C00001569,73620
C00000969,73635
C00029724,73641
C00002909,73644
C00003949,73648
C00026012,73664
C00040564,74112
C00036250,74138
C00052132,74166
C00052645,74201
C00029535,74446
C00055637,74563
C00000101,74706
C00035014,74708
C00053304,74822
C00029477,75142
C00056067,75182
C00032638,75222
C00055622,75231
C00034312,75324
C00003037,75427
C00053867,75519
C00054966,75552
C00053668,75554
C00053547,75699
C00003381,75729
C00055625,75787
C00000791,75795
C00010816,75864
C00046194,76024
C00036541,76308
C00031535,76565
C00003991,76573
C00047902,76581
C00002662,76617
C00036143,76658
C00029542,76689
C00038243,76857
C00052651,76883
C00048293,76955
C00042775,77039
C00042097,77052
C00035948,77069
C00053067,77151
C00044434,77449
C00032250,77487
C00001813,77514
C00032950,77547
C00055674,77844
C00054010,77932
C00001290,77981
C00010968,78153
C00035504,78236
C00053578,78350
C00036783,78435
C00043652,78659
C00002412,78673
C00055748,78807
C00052095,78887
C00007413,79014
C00053575,79028
C00001219,79034
C00052655,79075
C00052140,79089
C00051957,79437
C00003821,79730
C00032749,79740
C00055802,79828
C00012014,80048
C00002786,80103
C00053430,80127
C00048938,80208
C00011011,80297
C00031591,80309
C00052414,80642
C00055753,80790
C00056187,81505
C00048350,81544
C00001122,81696
C00010930,81722
C00035144,81844
C00001710,82143
C00007433,82184
C00034999,82227
C00011027,82229
C00053985,82452
C00052713,82712
C00032635,82755
C00052610,83101
C00034360,83122
C00003004,83412
C00053368,83686
C00054486,83797
C00018305,83843
C00052175,83939
C00052174,83944
C00052261,84336
C00035507,84467
C00037338,84532
C00000808,84532
C00002854,84800
C00010336,84825
C00056188,84880
C00007386,84951
C00053428,84996
C00003126,85259
C00038251,85405
C00010926,85568
C00055422,86355
C00054787,86374
C00052595,86770
C00052756,86783
C00012508,86895
C00000771,86962
C00002828,87014
C00042230,87201
C00002684,87317
C00052675,87436
C00003088,87691
C00002223,87752
C00052579,87778
C00029977,87839
C00002131,87840
C00052640,87999
C00001494,88000
C00053858,88298
C00000812,88301
C00000829,88302
C00034794,88303
C00002988,88308
C00002073,88363
C00007487,88366
C00016759,88389
C00029539,88447
C00035473,88563
C00032356,88687
C00003082,88708
C00001028,88881
C00044192,89022
C00028729,89047
C00026064,89048
C00027167,89048
C00002777,89287
C00053672,89488
C00002057,89594
C00002791,89644
C00000863,89664
C00000916,89954
C00024372,90075
C00024385,90075
C00028042,90075
C00055844,90232
C00023759,90278
C00055631,90289
C00021582,90351
C00050560,90454
C00034206,91434
C00018689,91437
