Aceraceae negundo	
Aceraceae nikoense	
Aceraceae triflorum	
Acetabularia acetabulum	35845
Acetes chinensis	439396
Achaetomium cristalliferum	2082588
Achillea	13328
Achillea afra	
Achillea ageratifolia	
Achillea ageratum	282717
Achillea alexandri-regis	
Achillea alexandri-regis Bornm.& Rudski	
Achillea alpina	282718
Achillea atrata	282721
Achillea atrata L.ssp.multifida	
Achillea biebersteinii	282722
Achillea clavennae	282726
Achillea clusiana	282727
Achillea clypeolata	282728
Achillea collina	282730
Achillea collina J.Becker ex Reichenb	
Achillea conferta	
Achillea cretica	282731
Achillea crithmifolia	282732
Achillea depressa	
Achillea filipendulina	282736
Achillea fragrantissima	282738
Achillea holosericea	282740
Achillea latiloba	359926
Achillea leptophylla	282744
Achillea ligustica	282745
Achillea micrantha	282747
Achillea millefolium	13329
Achillea millefolium var. lanulosa	282742
Achillea moschata	282750
Achillea multifida	282751
Achillea nana	282752
Achillea nobilis	282753
Achillea santolina	1028379
Achillea santolinoids	
Achillea schischkinii	
Achillea sibirica subsp.mongolica	
Achillea sintenisii	
Achillea spirokensis	
Achillea spp.	
Achillea ulumoffii	
Achillea wilhelmsii	282771
Achillea,Artemisia spp.	
Achimenes spp.	
Achlionice violaecuspidata	
Achlya ambisexualis	4768
Achlya bisexualis	4766
Achlya heterosexualis	112030
Achlys triphylla	63345
Achnatherum lemmonii	1118076
Achnatherum robustum	487923
Achyla bisexualis	
Achyranthes aspera	240005
Achyranthes bidentata	384659
Achyranthes fauriei	
Achyranthes rubrofusca	
Achyrocline alata	746491
Achyrocline albicans	
Achyrocline bogotensis	
Achyrocline bogotensis (HBK.) DC.	
Achyrocline flaccida	746492
Achyrocline satureioides	746493
Achyrocline satureoides	
Achyrocline satureoides var.albicans	
Achyrocline spp.	
Achyrocline tomentosa	1548826
Acicarpha tribuloides	49581
Acilepis saligna	1075351
Acinetobacter baumannii ATCC19606	
Acinetobacter calcoaceticus	471
Acinetobacter tartarogenes	
Acinidia rubricaulis var.coriacea	
Acinos spp.	
Acinos suaveolens	
Acinos thymoides	
Acipenser ruthenus	7906
Acipenser sturio	61674
Acnistus arborescens	362341
Acnistus arborescens (L.) Schlecht.	
Acokanthera ouabaio	
Aconitum alboviolaceum	286050
Aconitum altaicum	
Aconitum anthora	112588
Aconitum anthoroideum	1960950
Aconitum baicalense	50863
Aconitum balfourii Stapf.	
Aconitum barbatum	1045222
Aconitum barbatum var.hispidum	
Aconitum barbatum var.puberulum	
Aconitum brachypodum	226103
Aconitum bullatifolium var.homotrichum	
Aconitum bulleyanum	226111
Aconitum callianthum	
Aconitum calliantum	
Aconitum callibotryon	
