source,target
C00000979,2210
C00003439,5922
C00003440,5923
C00002001,5934
C00002002,5936
C00002093,5941
C00003441,5944
C00001868,5952
C00003152,5955
C00001592,5961
C00003306,5981
C00002886,5983
C00001593,5985
C00001869,5986
C00012474,5993
C00002751,5995
C00001871,5999
C00003442,6003
C00003443,6004
C00002346,6011
C00003307,6019
C00003444,6039
C00003087,6042
C00002887,6053
C00003848,6059
C00001542,6063
C00000974,6068
C00003310,6077
C00002959,6079
C00002222,6081
C00001313,6084
C00029353,6084
C00003446,6086
C00002253,6088
C00002754,6090
C00003447,6091
C00000700,6093
C00002610,6098
C00002929,6110
C00003448,6111
C00001649,6113
C00002998,6114
C00002294,6140
C00002177,6142
C00003001,6144
C00002254,6145
C00003605,3115
C00002189,7315
C00001421,7319
C00002519,4308
C00006180,4310
C00002986,4320
C00003420,4321
C00003176,7883
C00002556,7886
C00003011,7889
C00002706,7892
C00003463,7894
C00001579,7906
C00003752,7919
C00000303,7926
C00002104,7937
C00003886,7947
C00002932,7948
C00002062,7952
C00001167,8029
C00002105,8031
C00002492,8035
C00003539,8036
C00003540,8037
C00001519,8040
C00002765,8043
C00003541,8046
C00002766,8062
C00001954,8109
C00001467,5401
C00007343,5406
C00001481,5416
C00003135,5440
C00002165,5462
C00002166,5479
C00002167,5480
C00003286,5095
C00002990,5096
C00001998,5166
C00002825,5168
C00002473,5169
C00003747,5171
C00003287,5177
C00001728,5178
C00002429,5179
C00002922,5180
C00003773,5186
C00003080,5188
C00001859,5191
C00002039,5192
C00002163,5197
C00024253,5197
C00002040,5199
C00003427,5200
C00000963,5202
C00002604,5203
C00002414,9980
C00003391,9981
C00001782,9985
C00003392,9999
C00003022,10000
C00002504,10001
C00003393,10024
C00001608,10026
C00003202,10032
C00002369,10042
C00001111,10043
C00000313,10061
C00002710,10070
C00003395,10071
C00002505,10073
C00002390,10075
C00003396,10076
C00001929,10084
C00003597,10086
C00003598,10087
C00003736,10105
C00003398,10109
C00003204,10115
C00002684,10117
C00003026,10118
C00003561,10120
C00002011,10122
C00002746,10135
C00002748,10136
C00002764,10137
C00002774,10138
C00002918,10150
C00001979,7102
C00002408,10635
C00003171,8115
C00003258,4817
C00001719,4820
C00001722,4822
C00003621,4830
C00002235,9198
C00003732,9208
C00000256,9209
C00003553,9211
C00003099,9214
C00003554,9228
C00001666,9237
C00001959,9240
C00003484,9244
C00001668,9250
C00000612,9259
C00002303,9291
C00001006,9292
C00002629,9295
C00002780,9299
C00001204,9300
C00001661,8925
C00001292,8995
C00003549,8997
C00002409,8998
C00003362,9013
C00002772,9017
C00003729,9018
C00029674,300
C00010931,300
C00003051,301
C00024501,797
C00000981,847
C00002646,955
C00002497,9019
C00001000,9020
C00001001,9021
C00003754,9025
C00003550,9027
C00003635,9032
C00002113,9037
C00003591,9039
C00002769,8644
C00002858,8646
C00001321,8648
C00001909,8651
C00012419,8652
C00003004,2212
C00002402,2222
C00000953,2245
C00000759,2247
C00020218,2268
C00005004,2301
C00002423,2306
C00000935,2367
C00000936,2368
C00003762,3136
C00002872,3141
C00025777,3149
C00001692,3155
C00001964,3157
C00027305,3164
C00001823,3164
C00027107,3167
C00010268,3170
C00001694,3174
C00000943,3185
C00000944,3186
C00003699,3188
C00003700,3189
C00003701,3190
C00003703,3192
C00001695,3193
C00002024,3195
C00001563,3196
C00003704,3197
C00003678,3198
C00002142,3203
C00003105,3206
C00003226,3208
C00001302,3212
C00003216,2811
C00002210,2819
C00001690,2821
C00002795,2828
C00001586,3530
C00002722,3532
C00001303,3570
C00003228,3574
C00003229,3575
C00003706,3577
C00003708,3579
C00003413,3581
C00002912,3584
C00000240,3624
C00003230,3627
C00001844,4323
C00002463,4324
C00002290,4326
C00003124,4329
C00003125,4343
C00002334,4345
C00002466,4354
C00002945,4360
C00003126,4365
C00003127,4367
C00003128,4368
C00001281,4370
C00002395,4371
C00001632,4381
C00001634,4385
C00001635,4387
C00003571,4389
C00003572,4390
C00001970,4400
C00001636,4402
C00028165,4402
C00002813,4414
C00001971,4427
C00002149,4428
C00003514,4446
C00018719,4454
C00010613,4458
C00003129,4478
C00001243,4488
C00003515,4490
C00001537,4492
C00003357,8661
C00008026,9355
C00002575,9358
C00002121,9361
C00002630,9365
C00002973,9368
C00003100,9370
C00002199,9373
C00002123,9375
